Food,Safety Info,Precaution,Food handling,Category
Alfalfa Sprouts,Safe to eat,Don't eat raw. Avoid pre-prepared salads from salad bars  as they may not have been freshly prepared.,Wash before cooking. Cook thoroughly.,Vegetable
Apple,Safe to eat,,Thoroughly wash before eating,Fruit
Apricot,Safe to eat,,Thoroughly wash before eating,Fruit
Artichoke,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Asian Pear,Safe to eat,,Thoroughly wash before eating,Fruit
Asparagus,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Atemoya,Safe to eat,,Thoroughly wash before opening,Fruit
Avocado,Safe to eat,,Thoroughly wash before opening,Fruit
Bamboo Shoots,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Banana,Safe to eat,,Thoroughly wash before opening,Fruit
Bean Sprouts,Safe to eat,Don't eat raw. Avoid pre-prepared salads from salad bars  as they may not have been freshly prepared.,Wash before cooking. Cook thoroughly.,Vegetable
Beans,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Beets,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Belgian Endive,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Bell Peppers,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Bitter Melon,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Blackberries,Safe to eat,,Thoroughly wash before eating,Fruit
Blueberries,Safe to eat,,Thoroughly wash before eating,Fruit
Bok Choy,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Boniato,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Boysenberries,Safe to eat,,Thoroughly wash before eating,Fruit
Broccoflower,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Broccoli,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Brussels Sprouts,Safe to eat,Don't eat raw. Avoid pre-prepared salads from salad bars  as they may not have been freshly prepared.,Wash before cooking. Cook thoroughly.,Vegetable
Cabbage,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Cactus Pear,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Cantaloupe,Safe to eat,Don't eat commercial pre-cut fruit,Thoroughly wash before opening,Fruit
Carambola,Safe to eat,,Thoroughly wash before opening,Fruit
Carrots,Safe to eat,,Thoroughly wash before opening,Fruit
Casaba Melon,Safe to eat,,Thoroughly wash before opening,Fruit
Cauliflower,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Celery,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Chayote,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Cherimoya,Safe to eat,,Thoroughly wash before opening,Fruit
Cherries,Safe to eat,,Thoroughly wash before eating,Fruit
Coconuts,Safe to eat,,Thoroughly wash before opening,Fruit
Collard Greens,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
Corn,Safe to eat,,Wash before cooking. Cook thoroughly.,Vegetable
